summary,id,field,bt,bg,term,cardinality,format,missingFrom,belongsAt,presentIn,reason,evidence,applicability,severity,source
cii · seller.it.regimeFiscale missing from xml,cii|seller.it.regimeFiscale|xml,seller.it.regimeFiscale,,,,,cii,xml,seller.it.regimeFiscale,model Tax regime (RegimeFiscale); json —; xml —,The format's mapping table carries no row for this field,Unobserved: no transmission capture exists for UN/CEFACT CII (Factur-X / ZUGFeRD EN 16931); the evidence in docs/reference/fatturapa/ covers the FatturaPA path only.,,note,structural · cii-map.ts · R3
cii · seller.person.forename missing from xml,cii|seller.person.forename|xml,seller.person.forename,,,,,cii,xml,seller.person.forename,model Forename; json —; xml —,The format's mapping table carries no row for this field,Unobserved: no transmission capture exists for UN/CEFACT CII (Factur-X / ZUGFeRD EN 16931); the evidence in docs/reference/fatturapa/ covers the FatturaPA path only.,,note,structural · cii-map.ts · R3
cii · seller.person.gender missing from xml,cii|seller.person.gender|xml,seller.person.gender,,,,,cii,xml,seller.person.gender,model Gender; json —; xml —,The format's mapping table carries no row for this field,Unobserved: no transmission capture exists for UN/CEFACT CII (Factur-X / ZUGFeRD EN 16931); the evidence in docs/reference/fatturapa/ covers the FatturaPA path only.,,note,structural · cii-map.ts · R3
cii · seller.person.surname missing from xml,cii|seller.person.surname|xml,seller.person.surname,,,,,cii,xml,seller.person.surname,model Surname; json —; xml —,The format's mapping table carries no row for this field,Unobserved: no transmission capture exists for UN/CEFACT CII (Factur-X / ZUGFeRD EN 16931); the evidence in docs/reference/fatturapa/ covers the FatturaPA path only.,,note,structural · cii-map.ts · R3
cii · vatBreakdown.{i}.esigibilita missing from xml,cii|vatBreakdown.{i}.esigibilita|xml,vatBreakdown.{i}.esigibilita,,,,,cii,xml,vatBreakdown.{i}.esigibilita,model Esigibilita IVA (FatturaPA); json —; xml —,The format's mapping table carries no row for this field,Unobserved: no transmission capture exists for UN/CEFACT CII (Factur-X / ZUGFeRD EN 16931); the evidence in docs/reference/fatturapa/ covers the FatturaPA path only.,,note,structural · cii-map.ts · R3
cii · vatBreakdown.{i}.natura missing from xml,cii|vatBreakdown.{i}.natura|xml,vatBreakdown.{i}.natura,,,,,cii,xml,vatBreakdown.{i}.natura,model Natura (FatturaPA); json —; xml —,The format's mapping table carries no row for this field,Unobserved: no transmission capture exists for UN/CEFACT CII (Factur-X / ZUGFeRD EN 16931); the evidence in docs/reference/fatturapa/ covers the FatturaPA path only.,,note,structural · cii-map.ts · R3
fatturapa · /details/creators/{i}/label missing from model,operation|/details/creators/{i}/label|model,,,,,,fatturapa,model,/details/creators/{i}/label,model —; json /details/creators/{i}/label; xml —,The operation accepts this pointer but no model field addresses it,,IT_EI: applicable; BE_EI: applicable; DE_EI: applicable,should-fix,spec · fiskaly.unified-api.all.2026-06-01.yaml · R2
fatturapa · /details/creators/{i}/name/forename missing from model,operation|/details/creators/{i}/name/forename|model,,,,,,fatturapa,model,/details/creators/{i}/name/forename,model —; json /details/creators/{i}/name/forename; xml —,The operation accepts this pointer but no model field addresses it,,IT_EI: applicable; BE_EI: applicable; DE_EI: applicable,should-fix,spec · fiskaly.unified-api.all.2026-06-01.yaml · R2
fatturapa · /details/creators/{i}/name/gender missing from model,operation|/details/creators/{i}/name/gender|model,,,,,,fatturapa,model,/details/creators/{i}/name/gender,model —; json /details/creators/{i}/name/gender; xml —,The operation accepts this pointer but no model field addresses it,,IT_EI: applicable; BE_EI: applicable; DE_EI: applicable,should-fix,spec · fiskaly.unified-api.all.2026-06-01.yaml · R2
fatturapa · /details/creators/{i}/name/infix missing from model,operation|/details/creators/{i}/name/infix|model,,,,,,fatturapa,model,/details/creators/{i}/name/infix,model —; json /details/creators/{i}/name/infix; xml —,The operation accepts this pointer but no model field addresses it,,IT_EI: applicable; BE_EI: applicable; DE_EI: applicable,note,spec · fiskaly.unified-api.all.2026-06-01.yaml · R3
fatturapa · /details/creators/{i}/name/prefix missing from model,operation|/details/creators/{i}/name/prefix|model,,,,,,fatturapa,model,/details/creators/{i}/name/prefix,model —; json /details/creators/{i}/name/prefix; xml —,The operation accepts this pointer but no model field addresses it,,IT_EI: applicable; BE_EI: applicable; DE_EI: applicable,note,spec · fiskaly.unified-api.all.2026-06-01.yaml · R3
fatturapa · /details/creators/{i}/name/suffix missing from model,operation|/details/creators/{i}/name/suffix|model,,,,,,fatturapa,model,/details/creators/{i}/name/suffix,model —; json /details/creators/{i}/name/suffix; xml —,The operation accepts this pointer but no model field addresses it,,IT_EI: applicable; BE_EI: applicable; DE_EI: applicable,note,spec · fiskaly.unified-api.all.2026-06-01.yaml · R3
fatturapa · /details/creators/{i}/name/surname missing from model,operation|/details/creators/{i}/name/surname|model,,,,,,fatturapa,model,/details/creators/{i}/name/surname,model —; json /details/creators/{i}/name/surname; xml —,The operation accepts this pointer but no model field addresses it,,IT_EI: applicable; BE_EI: applicable; DE_EI: applicable,should-fix,spec · fiskaly.unified-api.all.2026-06-01.yaml · R2
fatturapa · /details/creators/{i}/type missing from model,operation|/details/creators/{i}/type|model,,,,,,fatturapa,model,/details/creators/{i}/type,model —; json /details/creators/{i}/type; xml —,The operation accepts this pointer but no model field addresses it,,IT_EI: applicable; BE_EI: applicable; DE_EI: applicable,should-fix,spec · fiskaly.unified-api.all.2026-06-01.yaml · R2
fatturapa · /details/properties missing from model,operation|/details/properties|model,,,,,,fatturapa,model,/details/properties,model —; json /details/properties; xml —,The operation accepts this pointer but no model field addresses it,,IT_EI: applicable; BE_EI: applicable; DE_EI: applicable,note,spec · fiskaly.unified-api.all.2026-06-01.yaml · R3
fatturapa · /details/training missing from model,operation|/details/training|model,,,,,,fatturapa,model,/details/training,model —; json /details/training; xml —,The operation accepts this pointer but no model field addresses it,,IT_EI: applicable; BE_EI: applicable; DE_EI: applicable,note,spec · fiskaly.unified-api.all.2026-06-01.yaml · R3
fatturapa · /entries/{i}/data/product/details/batch missing from model,operation|/entries/{i}/data/product/details/batch|model,,,,,,fatturapa,model,/entries/{i}/data/product/details/batch,model —; json /entries/{i}/data/product/details/batch; xml —,The operation accepts this pointer but no model field addresses it,"discarded: Accepted by the schema, then thrown away by the FatturaPA generator; no product details reach the XML.",IT_EI: applicable; BE_EI: applicable; DE_EI: applicable,note,spec · fiskaly.unified-api.all.2026-06-01.yaml · R3
fatturapa · /entries/{i}/data/product/details/brand missing from model,operation|/entries/{i}/data/product/details/brand|model,,,,,,fatturapa,model,/entries/{i}/data/product/details/brand,model —; json /entries/{i}/data/product/details/brand; xml —,The operation accepts this pointer but no model field addresses it,"discarded: Accepted by the schema, then thrown away by the FatturaPA generator; no product details reach the XML.",IT_EI: applicable; BE_EI: applicable; DE_EI: applicable,note,spec · fiskaly.unified-api.all.2026-06-01.yaml · R3
fatturapa · /entries/{i}/data/product/details/date_of_entry missing from model,operation|/entries/{i}/data/product/details/date_of_entry|model,,,,,,fatturapa,model,/entries/{i}/data/product/details/date_of_entry,model —; json /entries/{i}/data/product/details/date_of_entry; xml —,The operation accepts this pointer but no model field addresses it,"discarded: Accepted by the schema, then thrown away by the FatturaPA generator; no product details reach the XML.",IT_EI: applicable; BE_EI: applicable; DE_EI: applicable,note,spec · fiskaly.unified-api.all.2026-06-01.yaml · R3
fatturapa · /entries/{i}/data/product/details/date_of_production missing from model,operation|/entries/{i}/data/product/details/date_of_production|model,,,,,,fatturapa,model,/entries/{i}/data/product/details/date_of_production,model —; json /entries/{i}/data/product/details/date_of_production; xml —,The operation accepts this pointer but no model field addresses it,"discarded: Accepted by the schema, then thrown away by the FatturaPA generator; no product details reach the XML.",IT_EI: applicable; BE_EI: applicable; DE_EI: applicable,note,spec · fiskaly.unified-api.all.2026-06-01.yaml · R3
fatturapa · /entries/{i}/data/product/details/label missing from model,operation|/entries/{i}/data/product/details/label|model,,BT-154,BG-31,Item description,0..1,fatturapa,model,/entries/{i}/data/product/details/label,model —; json /entries/{i}/data/product/details/label; xml —,The operation accepts this pointer but no model field addresses it,"discarded: Accepted by the schema, then thrown away by the FatturaPA generator; no product details reach the XML.",IT_EI: applicable; BE_EI: applicable; DE_EI: applicable,note,spec · fiskaly.unified-api.all.2026-06-01.yaml · R3
fatturapa · /entries/{i}/data/product/details/model missing from model,operation|/entries/{i}/data/product/details/model|model,,,,,,fatturapa,model,/entries/{i}/data/product/details/model,model —; json /entries/{i}/data/product/details/model; xml —,The operation accepts this pointer but no model field addresses it,"discarded: Accepted by the schema, then thrown away by the FatturaPA generator; no product details reach the XML.",IT_EI: applicable; BE_EI: applicable; DE_EI: applicable,note,spec · fiskaly.unified-api.all.2026-06-01.yaml · R3
fatturapa · /entries/{i}/data/product/details/serial missing from model,operation|/entries/{i}/data/product/details/serial|model,,,,,,fatturapa,model,/entries/{i}/data/product/details/serial,model —; json /entries/{i}/data/product/details/serial; xml —,The operation accepts this pointer but no model field addresses it,"discarded: Accepted by the schema, then thrown away by the FatturaPA generator; no product details reach the XML.",IT_EI: applicable; BE_EI: applicable; DE_EI: applicable,note,spec · fiskaly.unified-api.all.2026-06-01.yaml · R3
fatturapa · /entries/{i}/data/vat/fiscal_location/country missing from model,operation|/entries/{i}/data/vat/fiscal_location/country|model,,,,,,fatturapa,model,/entries/{i}/data/vat/fiscal_location/country,model —; json /entries/{i}/data/vat/fiscal_location/country; xml —,The operation accepts this pointer but no model field addresses it,,IT_EI: applicable; BE_EI: applicable; DE_EI: applicable,should-fix,spec · fiskaly.unified-api.all.2026-06-01.yaml · R2
fatturapa · /entries/{i}/data/vat/fiscal_location/region missing from model,operation|/entries/{i}/data/vat/fiscal_location/region|model,,,,,,fatturapa,model,/entries/{i}/data/vat/fiscal_location/region,model —; json /entries/{i}/data/vat/fiscal_location/region; xml —,The operation accepts this pointer but no model field addresses it,,IT_EI: applicable; BE_EI: applicable; DE_EI: applicable,note,spec · fiskaly.unified-api.all.2026-06-01.yaml · R3
fatturapa · /entries/{i}/details/properties missing from model,operation|/entries/{i}/details/properties|model,,,,,,fatturapa,model,/entries/{i}/details/properties,model —; json /entries/{i}/details/properties; xml —,The operation accepts this pointer but no model field addresses it,"discarded: Accepted by the schema, then thrown away by the FatturaPA generator — only `concept` survives from the details block.",IT_EI: applicable; BE_EI: applicable; DE_EI: applicable,note,spec · fiskaly.unified-api.all.2026-06-01.yaml · R3
fatturapa · /payments/{i}/details/discount missing from model,operation|/payments/{i}/details/discount|model,,,,,,fatturapa,model,/payments/{i}/details/discount,model —; json /payments/{i}/details/discount; xml —,The operation accepts this pointer but no model field addresses it,"discarded: Accepted by the schema, then thrown away by the FatturaPA generator; no payment discount reaches the XML.",IT_EI: applicable; BE_EI: applicable; DE_EI: applicable,note,spec · fiskaly.unified-api.all.2026-06-01.yaml · R3
fatturapa · /payments/{i}/instruction/properties missing from model,operation|/payments/{i}/instruction/properties|model,,,,,,fatturapa,model,/payments/{i}/instruction/properties,model —; json /payments/{i}/instruction/properties; xml —,The operation accepts this pointer but no model field addresses it,,IT_EI: applicable; BE_EI: applicable; DE_EI: applicable,note,spec · fiskaly.unified-api.all.2026-06-01.yaml · R3
fatturapa · /recipients/{i}/address/line/infix missing from model,operation|/recipients/{i}/address/line/infix|model,,,,,,fatturapa,model,/recipients/{i}/address/line/infix,model —; json /recipients/{i}/address/line/infix; xml —,The operation accepts this pointer but no model field addresses it,"mapped: The recipient address becomes the buyer's Sede: street, number, postcode, city, region (Provincia) and country all rendered in the tested capture.",IT_EI: applicable; BE_EI: applicable; DE_EI: applicable,note,spec · fiskaly.unified-api.all.2026-06-01.yaml · R3
fatturapa · /recipients/{i}/address/line/prefix missing from model,operation|/recipients/{i}/address/line/prefix|model,,,,,,fatturapa,model,/recipients/{i}/address/line/prefix,model —; json /recipients/{i}/address/line/prefix; xml —,The operation accepts this pointer but no model field addresses it,"mapped: The recipient address becomes the buyer's Sede: street, number, postcode, city, region (Provincia) and country all rendered in the tested capture.",IT_EI: applicable; BE_EI: applicable; DE_EI: applicable,note,spec · fiskaly.unified-api.all.2026-06-01.yaml · R3
fatturapa · /recipients/{i}/address/line/suffix missing from model,operation|/recipients/{i}/address/line/suffix|model,,,,,,fatturapa,model,/recipients/{i}/address/line/suffix,model —; json /recipients/{i}/address/line/suffix; xml —,The operation accepts this pointer but no model field addresses it,"mapped: The recipient address becomes the buyer's Sede: street, number, postcode, city, region (Provincia) and country all rendered in the tested capture.",IT_EI: applicable; BE_EI: applicable; DE_EI: applicable,note,spec · fiskaly.unified-api.all.2026-06-01.yaml · R3
fatturapa · /recipients/{i}/shipping/address/line/infix missing from model,operation|/recipients/{i}/shipping/address/line/infix|model,,,,,,fatturapa,model,/recipients/{i}/shipping/address/line/infix,model —; json /recipients/{i}/shipping/address/line/infix; xml —,The operation accepts this pointer but no model field addresses it,"not-rendered: Accepted by the schema, but no DatiTrasporto block appeared in the tested capture even though the request carried a full shipping address and date.",IT_EI: applicable; BE_EI: applicable; DE_EI: applicable,note,spec · fiskaly.unified-api.all.2026-06-01.yaml · R3
fatturapa · /recipients/{i}/shipping/address/line/prefix missing from model,operation|/recipients/{i}/shipping/address/line/prefix|model,,,,,,fatturapa,model,/recipients/{i}/shipping/address/line/prefix,model —; json /recipients/{i}/shipping/address/line/prefix; xml —,The operation accepts this pointer but no model field addresses it,"not-rendered: Accepted by the schema, but no DatiTrasporto block appeared in the tested capture even though the request carried a full shipping address and date.",IT_EI: applicable; BE_EI: applicable; DE_EI: applicable,note,spec · fiskaly.unified-api.all.2026-06-01.yaml · R3
fatturapa · /recipients/{i}/shipping/address/line/suffix missing from model,operation|/recipients/{i}/shipping/address/line/suffix|model,,,,,,fatturapa,model,/recipients/{i}/shipping/address/line/suffix,model —; json /recipients/{i}/shipping/address/line/suffix; xml —,The operation accepts this pointer but no model field addresses it,"not-rendered: Accepted by the schema, but no DatiTrasporto block appeared in the tested capture even though the request carried a full shipping address and date.",IT_EI: applicable; BE_EI: applicable; DE_EI: applicable,note,spec · fiskaly.unified-api.all.2026-06-01.yaml · R3
fatturapa · /tax_representative/country missing from model,operation|/tax_representative/country|model,,BT-69,BG-12,Tax representative country code,1..1,fatturapa,model,/tax_representative/country,model —; json /tax_representative/country; xml —,The operation accepts this pointer but no model field addresses it,"not-rendered: Accepted by the schema, but no RappresentanteFiscale block appeared in the tested capture even though the request named one.",IT_EI: applicable; BE_EI: applicable; DE_EI: applicable,should-fix,spec · fiskaly.unified-api.all.2026-06-01.yaml · R2
fatturapa · /tax_representative/name missing from model,operation|/tax_representative/name|model,,BT-62,BG-11,Seller tax representative name,1..1,fatturapa,model,/tax_representative/name,model —; json /tax_representative/name; xml —,The operation accepts this pointer but no model field addresses it,"not-rendered: Accepted by the schema, but no RappresentanteFiscale block appeared in the tested capture even though the request named one.",IT_EI: applicable; BE_EI: applicable; DE_EI: applicable,should-fix,spec · fiskaly.unified-api.all.2026-06-01.yaml · R2
fatturapa · /tax_representative/vat_number missing from model,operation|/tax_representative/vat_number|model,,BT-63,BG-11,Seller tax representative VAT identifier,1..1,fatturapa,model,/tax_representative/vat_number,model —; json /tax_representative/vat_number; xml —,The operation accepts this pointer but no model field addresses it,"not-rendered: Accepted by the schema, but no RappresentanteFiscale block appeared in the tested capture even though the request named one.",IT_EI: applicable; BE_EI: applicable; DE_EI: applicable,should-fix,spec · fiskaly.unified-api.all.2026-06-01.yaml · R2
fatturapa · buyer.person.forename missing from json,fatturapa|buyer.person.forename|json,buyer.person.forename,,,,,fatturapa,json,/recipients/{i}/name/forename,model Forename; json —; xml mapped,"Only a CONSUMER recipient carries a PersonName; a BUSINESS recipient has one legal name and no forename, surname or gender",mapped: The business recipient's name becomes the buyer's Denominazione.,,should-fix,structural · uapi-map.UAPI_PARTIAL_FIELDS · R2
fatturapa · buyer.person.surname missing from json,fatturapa|buyer.person.surname|json,buyer.person.surname,,,,,fatturapa,json,/recipients/{i}/name/surname,model Surname; json —; xml mapped,"Only a CONSUMER recipient carries a PersonName; a BUSINESS recipient has one legal name and no forename, surname or gender",mapped: The business recipient's name becomes the buyer's Denominazione.,,should-fix,structural · uapi-map.UAPI_PARTIAL_FIELDS · R2
fatturapa · buyer.taxId missing from json,fatturapa|buyer.taxId|json,buyer.taxId,,,,,fatturapa,json,buyer.taxId,model Tax registration identifier (codice fiscale); json —; xml mapped,"identification names one identifier, so a buyer with a VAT id sends only that; its codice fiscale is preserved but not editable through the JSON",,,should-fix,structural · uapi-map.UAPI_PARTIAL_FIELDS · R2
fatturapa · it.bollo.amount missing from json,fatturapa|it.bollo.amount|json,it.bollo.amount,,,,,fatturapa,json,it.bollo.amount,model Stamp duty amount; json —; xml mapped,"The Italian document extras (bollo virtuale, CUP, CIG) have no counterpart in the operation",,,should-fix,structural · uapi-map.UAPI_LOSSY_FIELDS · R2
fatturapa · it.bollo.virtuale missing from json,fatturapa|it.bollo.virtuale|json,it.bollo.virtuale,,,,,fatturapa,json,it.bollo.virtuale,model Virtual stamp duty indicator; json —; xml mapped,"The Italian document extras (bollo virtuale, CUP, CIG) have no counterpart in the operation",,,should-fix,structural · uapi-map.UAPI_LOSSY_FIELDS · R2
fatturapa · it.cig missing from json,fatturapa|it.cig|json,it.cig,,,,,fatturapa,json,it.cig,model CIG - codice identificativo gara; json —; xml mapped,"The Italian document extras (bollo virtuale, CUP, CIG) have no counterpart in the operation",,,should-fix,structural · uapi-map.UAPI_LOSSY_FIELDS · R2
fatturapa · it.cup missing from json,fatturapa|it.cup|json,it.cup,,,,,fatturapa,json,it.cup,model CUP - codice unico di progetto; json —; xml mapped,"The Italian document extras (bollo virtuale, CUP, CIG) have no counterpart in the operation",,,should-fix,structural · uapi-map.UAPI_LOSSY_FIELDS · R2
fatturapa · lines.{i}.id missing from json,fatturapa|lines.{i}.id|json,lines.{i}.id,BT-126,BG-25,Invoice line identifier,1..1,fatturapa,json,/entries/{i}/details/number,model BT-126; json —; xml mapped,details.number is optional; without it the entry's position becomes the line id,discarded: We send the line id here and the FatturaPA generator throws it away; NumeroLinea is assigned from the entry's position instead. It stays in the payload because the schema accepts it and this evidence covers FatturaPA only.,,should-fix,structural · uapi-map.UAPI_PARTIAL_FIELDS · R2
fatturapa · lines.{i}.it.altriDatiGestionali.riferimentoData missing from json,fatturapa|lines.{i}.it.altriDatiGestionali.riferimentoData|json,lines.{i}.it.altriDatiGestionali.riferimentoData,,,,,fatturapa,json,lines.{i}.it.altriDatiGestionali.riferimentoData,model Management data date (FatturaPA); json —; xml mapped,AltriDatiGestionali has no counterpart in the operation,,,should-fix,structural · uapi-map.UAPI_LOSSY_FIELDS · R2
fatturapa · lines.{i}.it.altriDatiGestionali.riferimentoNumero missing from json,fatturapa|lines.{i}.it.altriDatiGestionali.riferimentoNumero|json,lines.{i}.it.altriDatiGestionali.riferimentoNumero,,,,,fatturapa,json,lines.{i}.it.altriDatiGestionali.riferimentoNumero,model Management data number (FatturaPA); json —; xml mapped,AltriDatiGestionali has no counterpart in the operation,,,should-fix,structural · uapi-map.UAPI_LOSSY_FIELDS · R2
fatturapa · lines.{i}.it.altriDatiGestionali.riferimentoTesto missing from json,fatturapa|lines.{i}.it.altriDatiGestionali.riferimentoTesto|json,lines.{i}.it.altriDatiGestionali.riferimentoTesto,,,,,fatturapa,json,lines.{i}.it.altriDatiGestionali.riferimentoTesto,model Management data text (FatturaPA); json —; xml mapped,AltriDatiGestionali has no counterpart in the operation,,,should-fix,structural · uapi-map.UAPI_LOSSY_FIELDS · R2
fatturapa · lines.{i}.it.altriDatiGestionali.tipoDato missing from json,fatturapa|lines.{i}.it.altriDatiGestionali.tipoDato|json,lines.{i}.it.altriDatiGestionali.tipoDato,,,,,fatturapa,json,lines.{i}.it.altriDatiGestionali.tipoDato,model Management data type (FatturaPA); json —; xml mapped,AltriDatiGestionali has no counterpart in the operation,,,should-fix,structural · uapi-map.UAPI_LOSSY_FIELDS · R2
fatturapa · lines.{i}.vat.natura missing from json,fatturapa|lines.{i}.vat.natura|json,lines.{i}.vat.natura,,,,,fatturapa,json,lines.{i}.vat.natura,model Line natura (FatturaPA); json —; xml mapped,rateCode/exemptionCode are many-to-one: the SystemVatRateCode and SystemVatExemptionCode enums cannot express Natura or a VATEX code,,,should-fix,structural · uapi-map.UAPI_LOSSY_FIELDS · R2
fatturapa · lines.{i}.vat.rate missing from json,fatturapa|lines.{i}.vat.rate|json,lines.{i}.vat.rate,BT-152,BG-30,Invoiced item VAT rate,0..1,fatturapa,json,/entries/{i}/data/vat/percentage,model BT-152; json —; xml mapped,Only a VAT_RATE row has a percentage; an exemption or reverse-charge row carries none,mapped: The VAT percentage becomes the line's AliquotaIVA.,,should-fix,structural · uapi-map.UAPI_PARTIAL_FIELDS · R2
fatturapa · payment.accountName missing from json,fatturapa|payment.accountName|json,payment.accountName,BT-85,BG-17,Payment account name,0..1,fatturapa,json,/payments/{i}/instruction/name,model BT-85; json —; xml mapped,The bank details only travel inside a CREDIT_TRANSFER instruction,mapped: The instruction's account-holder name is written as IstitutoFinanziario — FatturaPA's financial-institution name — exactly as observed in the tested capture.,IT_EI: applicable,should-fix,structural · uapi-map.UAPI_PARTIAL_FIELDS · R2
fatturapa · payment.bic missing from json,fatturapa|payment.bic|json,payment.bic,BT-86,BG-17,Payment service provider identifier,0..1,fatturapa,json,/payments/{i}/instruction/payment_service_provider,model BT-86; json —; xml mapped,The bank details only travel inside a CREDIT_TRANSFER instruction,mapped: The payment service provider becomes the BIC element and must be a real SWIFT/BIC.,IT_EI: applicable,should-fix,structural · uapi-map.UAPI_PARTIAL_FIELDS · R2
fatturapa · payment.conditions missing from json,fatturapa|payment.conditions|json,payment.conditions,,,,,fatturapa,json,payment.conditions,model Payment conditions (CondizioniPagamento); json —; xml mapped,The payment instruction is a bank transfer or nothing; ModalitaPagamento and the FatturaPA payment conditions are not carried,,,should-fix,structural · uapi-map.UAPI_LOSSY_FIELDS · R2
fatturapa · payment.iban missing from json,fatturapa|payment.iban|json,payment.iban,BT-84,BG-17,Payment account identifier,1..1,fatturapa,json,/payments/{i}/instruction/account,model BT-84; json —; xml mapped,The bank details only travel inside a CREDIT_TRANSFER instruction,mapped: The credit-transfer account becomes the IBAN element.,IT_EI: applicable,should-fix,structural · uapi-map.UAPI_PARTIAL_FIELDS · R2
fatturapa · payment.italianMeansCode missing from json,fatturapa|payment.italianMeansCode|json,payment.italianMeansCode,,,,,fatturapa,json,payment.italianMeansCode,model Payment means (ModalitaPagamento); json —; xml mapped,The payment instruction is a bank transfer or nothing; ModalitaPagamento and the FatturaPA payment conditions are not carried,,,should-fix,structural · uapi-map.UAPI_LOSSY_FIELDS · R2
fatturapa · references.despatchAdvice.issueDate missing from json,fatturapa|references.despatchAdvice.issueDate|json,references.despatchAdvice.issueDate,,,,,fatturapa,json,references.despatchAdvice.issueDate,model Despatch advice date; json —; xml mapped,"document.references carries neither BT-14 nor BT-18, and despatch_advice is a bare number without BT-16's date",,,should-fix,structural · uapi-map.UAPI_LOSSY_FIELDS · R2
fatturapa · references.invoicedObject missing from json,fatturapa|references.invoicedObject|json,references.invoicedObject,BT-18,BG-0,Invoiced object identifier,0..1,fatturapa,json,BT-18,model BT-18; json —; xml mapped,"document.references carries neither BT-14 nor BT-18, and despatch_advice is a bare number without BT-16's date",,,should-fix,structural · uapi-map.UAPI_LOSSY_FIELDS · R2
fatturapa · seller.address.city missing from json,fatturapa|seller.address.city|json,seller.address.city,BT-37,BG-5,Seller city,0..1,fatturapa,json,BT-37,model BT-37; json —; xml mapped,The seller (BG-4) comes from the taxpayer resource; the operation carries only the contact point (BG-6),"Derived: fiskaly fills this from Taxpayer /address/city — provided when the account is onboarded (POST /taxpayers, system commissioning), not per invoice.",,note,structural · uapi-map.UAPI_LOSSY_FIELDS · R4
fatturapa · seller.address.country missing from json,fatturapa|seller.address.country|json,seller.address.country,BT-40,BG-5,Seller country code,1..1,fatturapa,json,BT-40,model BT-40; json —; xml mapped,The seller (BG-4) comes from the taxpayer resource; the operation carries only the contact point (BG-6),"Derived: fiskaly fills this from Taxpayer /address/country — provided when the account is onboarded (POST /taxpayers, system commissioning), not per invoice.",,note,structural · uapi-map.UAPI_LOSSY_FIELDS · R4
fatturapa · seller.address.number missing from json,fatturapa|seller.address.number|json,seller.address.number,BT-36,BG-5,Seller address line 2,0..1,fatturapa,json,BT-36,model BT-36; json —; xml mapped,The seller (BG-4) comes from the taxpayer resource; the operation carries only the contact point (BG-6),"Derived: fiskaly fills this from Taxpayer /address/line — provided when the account is onboarded (POST /taxpayers, system commissioning), not per invoice.",,note,structural · uapi-map.UAPI_LOSSY_FIELDS · R4
fatturapa · seller.address.postCode missing from json,fatturapa|seller.address.postCode|json,seller.address.postCode,BT-38,BG-5,Seller post code,0..1,fatturapa,json,BT-38,model BT-38; json —; xml mapped,The seller (BG-4) comes from the taxpayer resource; the operation carries only the contact point (BG-6),"Derived: fiskaly fills this from Taxpayer /address/code — provided when the account is onboarded (POST /taxpayers, system commissioning), not per invoice.",,note,structural · uapi-map.UAPI_LOSSY_FIELDS · R4
fatturapa · seller.address.region missing from json,fatturapa|seller.address.region|json,seller.address.region,BT-39,BG-5,Seller country subdivision,0..1,fatturapa,json,BT-39,model BT-39; json —; xml mapped,The seller (BG-4) comes from the taxpayer resource; the operation carries only the contact point (BG-6),"Derived: fiskaly fills this from Taxpayer /address/region — provided when the account is onboarded (POST /taxpayers, system commissioning), not per invoice.",,note,structural · uapi-map.UAPI_LOSSY_FIELDS · R4
fatturapa · seller.address.street missing from json,fatturapa|seller.address.street|json,seller.address.street,BT-35,BG-5,Seller address line 1,0..1,fatturapa,json,BT-35,model BT-35; json —; xml mapped,The seller (BG-4) comes from the taxpayer resource; the operation carries only the contact point (BG-6),"Derived: fiskaly fills this from Taxpayer /address/line — provided when the account is onboarded (POST /taxpayers, system commissioning), not per invoice.",,note,structural · uapi-map.UAPI_LOSSY_FIELDS · R4
fatturapa · seller.it.rea.capital missing from json,fatturapa|seller.it.rea.capital|json,seller.it.rea.capital,,,,,fatturapa,json,seller.it.rea.capital,model Share capital; json —; xml mapped,The seller (BG-4) comes from the taxpayer resource; the operation carries only the contact point (BG-6),"Derived: fiskaly fills this from Taxpayer /fiscalization/registration/capital (IT) — provided when the account is onboarded (POST /taxpayers, system commissioning), not per invoice.",,note,structural · uapi-map.UAPI_LOSSY_FIELDS · R4
fatturapa · seller.it.rea.liquidation missing from json,fatturapa|seller.it.rea.liquidation|json,seller.it.rea.liquidation,,,,,fatturapa,json,seller.it.rea.liquidation,model Liquidation status; json —; xml mapped,The seller (BG-4) comes from the taxpayer resource; the operation carries only the contact point (BG-6),"Derived: fiskaly fills this from Taxpayer /fiscalization/registration/liquidation_status (IT) — provided when the account is onboarded (POST /taxpayers, system commissioning), not per invoice.",,note,structural · uapi-map.UAPI_LOSSY_FIELDS · R4
fatturapa · seller.it.rea.number missing from json,fatturapa|seller.it.rea.number|json,seller.it.rea.number,,,,,fatturapa,json,seller.it.rea.number,model REA registration number; json —; xml mapped,The seller (BG-4) comes from the taxpayer resource; the operation carries only the contact point (BG-6),"Derived: fiskaly fills this from Taxpayer /fiscalization/registration/entry (IT) — provided when the account is onboarded (POST /taxpayers, system commissioning), not per invoice.",,note,structural · uapi-map.UAPI_LOSSY_FIELDS · R4
fatturapa · seller.it.rea.office missing from json,fatturapa|seller.it.rea.office|json,seller.it.rea.office,,,,,fatturapa,json,seller.it.rea.office,model REA registration office; json —; xml mapped,The seller (BG-4) comes from the taxpayer resource; the operation carries only the contact point (BG-6),"Derived: fiskaly fills this from Taxpayer /fiscalization/registration/office (IT) — provided when the account is onboarded (POST /taxpayers, system commissioning), not per invoice.",,note,structural · uapi-map.UAPI_LOSSY_FIELDS · R4
